Session_Id,Player_Id,Start_Epoch,Stop_Epoch
74,1,1754436600,1754455560
75,30,1754436600,1754447160
76,11,1754436600,1754450700
77,45,1754436600,1754449380
78,188,1754436600,1754446320
80,44,1754436600,1754455560
81,178,1754436600,1754448780
82,177,1754436600,1754455560
83,9,1754436600,1754455560
84,187,1754436600,1754441280
85,7,1754436600,1754455560
86,407,1754436600,1754441100
87,269,1754439060,1754454600
88,2,1754439720,1754455500
89,410,1754441160,1754448600
91,64,1754442840,1754449380
93,1,1755646200,1755670260
94,11,1755646200,1755660720
96,408,1755646200,1755655440
97,407,1755646200,1755662700
98,188,1755646200,1755660300
99,3,1755646200,1755663480
100,44,1755646200,1755665340
101,178,1755646200,1755660300
102,25,1755646200,1755655380
103,9,1755646200,1755661380
104,86,1755646200,1755670260
105,7,1755646200,1755660540
106,181,1755646200,1755670260
107,30,1755646200,1755660300
108,15,1755646740,1755655080
109,103,1755646740,1755664800
110,150,1755650280,1755670260
111,250,1755651780,1755657180
112,410,1755652860,1755660360
113,42,1755655200,1755670260
114,2,1755655920,1755670260
116,1,1760052600,1760061711
117,3,1760052600,1760061711
118,25,1760052600,1760061711
119,187,1760052600,1760061711
120,3,1760052600,1760059927
121,1,1760052600,1760059927
122,25,1760052600,1760059927
123,187,1760052600,1760059927
124,9,1760060305,1760060331
125,1,1760052600,1760061624
126,3,1760052600,1760061624
127,25,1760052600,1760061624
128,187,1760052600,1760061624
129,9,1760052600,1760061624
130,177,1760052600,1760061624
131,11,1760052600,1760061624
132,187,1760061875,1760063314
133,9,1760061883,1760063314
134,177,1760061891,1760063314
135,11,1760061897,1760063314
136,25,1760061899,1760063314
137,3,1760061902,1760063314
138,1,1760061907,1760063314
139,11,1760063455,1760065813
140,177,1760064112,1760065813
141,9,1760064124,1760065813
142,187,1760064136,1760065813
143,25,1760064138,1760065813
144,3,1760064140,1760065813
145,1,1760064143,1760065813
146,1,1760052600,1760066538
147,3,1760052600,1760066538
148,25,1760052600,1760066538
149,187,1760052600,1760066538
150,9,1760052600,1760066538
151,11,1760052600,1760066538
158,1,1760484600,1760506347
159,44,1760484600,1760506347
160,177,1760484600,1760501636
161,188,1760484600,1760501815
162,25,1760484600,1760501541
163,32,1760484600,1760497948
164,45,1760484600,1760500701
165,407,1760484600,1760502412
166,11,1760484600,1760501118
167,9,1760484600,1760501734
168,3,1760484600,1760506347
169,2,1760484600,1760506347
170,178,1760484600,1760499226
171,30,1760484600,1760502442
172,86,1760484600,1760506347
173,411,1760484600,1760486568
174,150,1760484600,1760506347
175,1,1761089400,1761106335
176,2,1761089400,1761689253
177,25,1761089400,1761106126
178,7,1761089400,1761100332
179,177,1761089400,1761689253
180,45,1761089400,1761092158
181,137,1761089400,1761106139
182,11,1761089400,1761106318
183,30,1761089400,1761100315
184,44,1761089400,1761106326
185,13,1761089400,1761104456
186,3,1761089400,1761106018
187,86,1761089400,1761689253
188,150,1761089400,1761689253
189,178,1761089400,1761105664
190,177,1761694200,1761699331
191,25,1761694200,1761707541
192,30,1761694200,1761708794
193,178,1761694200,1761708726
194,45,1761694200,1761707152
195,11,1761694200,1761702870
196,188,1761694200,1761708778
197,44,1761694200,1761715497
198,9,1761694200,1761708804
199,86,1761694200,1761715497
200,181,1761694200,1761715497
201,3,1761694200,1761704816
202,2,1761694200,1761715497
203,232,1761694418,1761715497
204,81,1761694421,1761706508
205,137,1761695186,1761715497
206,1,1761694270,1761715873
207,1,1762302600,1762318836
208,11,1762302600,1762318859
209,9,1762302600,1762318856
210,32,1762302600,1762897185
211,177,1762302600,1762318870
212,30,1762302600,1762318865
213,25,1762302600,1762318860
214,44,1762302600,1762318874
215,44,1762302600,1762301939
216,178,1762302600,1762313269
217,45,1762303726,1762318831
218,148,1762303825,1762318827
219,11,1762907400,1762922118
220,1,1762907400,1762925868
221,26,1762907400,1762915603
222,45,1762907400,1762920328
223,137,1762907400,1762915894
224,25,1762907400,1762927118
225,178,1762907400,1762922000
226,44,1762908194,1762925819
227,44,1762908210,1762908843
228,7,1762908924,1762920987
229,9,1762909619,1762925767
230,177,1762909752,1762915655
231,177,1762909760,1762925790
232,415,1762911061,1762918038
233,188,1762912119,1762925875
234,30,1762915680,1762925852
235,137,1762916574,1762927115
236,1,1764117000,1764136168
237,7,1764117000,1764128951
238,177,1764117000,1764136212
239,11,1764117000,1764132664
240,178,1764117000,1764129081
241,2,1764117000,1764136170
242,3,1764117000,1764115256
243,86,1764117000,1764136174
244,150,1764117000,1764129202
245,9,1764122793,1764135723
246,30,1764122798,1764133310
247,181,1764117000,1764136176
248,7,1765326600,1765338995
249,30,1765326600,1765339372
250,1,1765326600,1765340365
251,2,1765326600,1765345183
252,31,1765326600,1765345183
253,45,1765326600,1765339317
254,177,1765326600,1765338825
255,25,1765326600,1765339429
256,188,1765326600,1765336998
257,86,1765326600,1765345183
258,181,1765326600,1765345183
259,44,1765326600,1765345183
260,11,1765326600,1765332932
261,407,1765326600,1765330308
262,178,1765326600,1765337719
263,10,1765326600,1765345183
264,3,1765326600,1765332986
265,150,1765327758,1765345183
266,232,1765327766,1765345183
267,9,1765332744,1765339416
268,410,1765335787,1765339442
269,1,1765931400,1765949672
270,64,1765931400,1765939856
271,45,1765931400,1765945608
272,177,1765931400,1765949672
273,25,1765931400,1765946822
274,407,1765931400,1765933887
275,44,1765931400,1765948115
276,178,1765931400,1765944117
277,188,1765931400,1765949672
278,9,1765931400,1765949672
279,2,1765931400,1765949672
